VENDOR,PARTNUMBER,Description,LOCATION,QUANTITY,CONDITION
ERAT,FC-SC-20MT-SM,Optical Cable FC-SC-20MT SINGLE MODE ,150122PILv,100,SPARE
ERAT,FC-SC-25MT-SM,Optical Cable FC-SC-25MT SINGLE MODE ,150122PILv,50,SPARE
ERAT,FC-SC-30MT-SM,Optical Cable FC-SC-30M SINGLE MODE ,150122PILv,20,SPARE
ERAT,FC-SC-5MT-SM,Optical Cable FC-SC-5MT SINGLE MODE ,150122PILv,100,SPARE
NEC,FMA16301T-1EU,3G SMALCELL OUTDOOR FEMTO ACCESS POINT,150122PILv,48,SPARE
CISCO,HWIC-2SHDSL,73-10248-01,150122PILv,3,SPARE
ERICSSON,KRC11842/2,RRUW;01 B1 Radio Unit RBS 3418,150122PILv,0,SPARE
ERICSSON,KRE1012249/1,Antenna 6503;Directional 1710-2180 MHz (Radio 220,150122PILv,8,SPARE
KINAN,KVM-1708A-X1.1,Single Rail 8-port 17” VGA LCD KVM Switch,150122PILv,2,SPARE
ERAT,LC-LC-10MT-SM,OPTICAL CABLKE LC-LC-10MT SINGLE MODE ,150122PILv,24,SPARE
ERAT,LC-LC-150MT-SM-Armoured,Optical Cable  150MT On-Reel Armored LC-LC-SINGLE MOD,150122PILv,11,SPARE
ERAT,LC-LC-200MT-SM,Optical Cable Armoured 200MT LC-LC-SINGLE MODE,150122PILv,6,SPARE
ERAT,LC-LC-2MT-SM,Optical Cable LC-LC-2MT SINGLE MODE ,150122PILv,227,SPARE
ERAT,LC-LC-3MT-SM,Optical Cable LC-LC-3MT SINGLE MODE ,150122PILv,2,SPARE
ERAT,LC-LC-SM-50MT-52020BIG,Optical Cable 50MT SINGLE MODE LC-LC,150122PILv,0,SPARE
